DSEH,20210917,70.45,71.25,69.02,69.5,641600
DSEN,20210917,413.46,417.26,409.1,410.12,461848000
DSES,20210917,348.17,350.09,345.66,347.72,22607000
DSEU,20210917,313.88,315.83,309.92,310.18,166981800
DSFA,20210917,897.47,897.47,883.68,886.3,69936600
DSFB,20210917,717.95,717.95,713.3,713.69,176619200
DSFC,20210917,125.11,127.02,125.11,125.34,67973500
DSFD,20210917,743.27,744.41,737.47,740.68,43665400
DSFE,20210917,954.12,954.12,938.88,940.78,56758300
DSFH,20210917,492.53,492.53,484.06,487.49,8567600
DSFI,20210917,1675.44,1684.53,1661.27,1667.71,264031100
DSFN,20210917,817.52,821.69,813.24,814.33,1177293000
DSFO,20210917,431.34,433.77,429.6,432.13,105031900
DSFP,20210917,596.83,600.19,594.42,597.91,105031900
DSFT,20210917,2880.7,2927.18,2851.02,2857.99,10772700
DSFV,20210917,926.94,932.02,921.7,924.56,0
DSGF,20210917,1877.95,1888.14,1862.07,1869.29,264031100
DSGI,20210917,567.84,567.84,560.62,562.36,65382500
DSGT,20210917,2561.54,2573.48,2549.99,2553.02,158877500
DSGU,20210917,266.68,267.75,264.6,264.6,16636700
DSHB,20210917,1459.79,1476.77,1457.39,1472.55,14406900
DSHC,20210917,1467.87,1471.97,1461.27,1470.8,563885100
DSHD,20210917,313.45,314.65,310.41,311.23,6870300
DSHG,20210917,949.55,957.9,949.55,950.81,55775600
DSHI,20210917,734.32,744.38,734.31,735.32,15032500
DSHL,20210917,84.99,86.03,84.11,84.37,12046700
DSHN,20210917,1123.7,1136.22,1123.7,1125.29,25930600
DSHP,20210917,2864.67,2894.09,2857.85,2890.34,94605400
DSHR,20210917,3184.03,3184.03,3128.73,3134.39,49289200
DSHV,20210917,759.1,766.07,751.31,757.6,6921200
DSIB,20210917,563.19,566.87,557.58,558.71,8915200
DSID,20210917,597.37,597.37,591.42,593.6,29650000
DSIF,20210917,54.31,54.93,53.68,53.71,15331800
DSIG,20210917,1135.94,1135.94,1121.85,1123.35,500884300
DSIL,20210917,917.99,930.34,910.97,912.1,82930200
DSIM,20210917,377.27,377.59,361.3,365.51,64432100
DSIN,20210917,1077.36,1077.36,1064.03,1065.38,562119300
DSIO,20210917,132.57,133.01,130.88,130.98,54181900
DSIP,20210917,1057.96,1062.1,1049.57,1050.75,95623100
DSIQ,20210917,2975.58,2975.58,2927.81,2931.82,106047500
DSIR,20210917,815.8,820.55,809.16,810.84,221740000
DSIS,20210917,964.87,964.87,950.83,952.45,146195700
DSIT,20210917,1579.99,1586.24,1558.46,1561.08,70167600
DSIU,20210917,347.95,349.74,344.86,346.49,18939400
DSIV,20210917,1125.8,1125.8,1107.27,1108.86,55077100
DSIX,20210917,784.98,788.86,778.31,780.26,138809700
DSLE,20210917,875.15,875.15,861.59,868.67,82034200
DSLG,20210917,2494.16,2519.7,2488.27,2491.42,8299900
DSLW,20210917,1596.44,1600.86,1584.52,1588.45,0
DSMC,20210917,2435.96,2457.47,2430.66,2450.37,184119600
DSME,20210917,1377,1386.97,1369.59,1376.32,190208300
DSMF,20210917,8.55,8.6,8.46,8.51,28452100
DSMG,20210917,114.89,114.89,113.13,114.45,11283000
DSMR,20210917,43.57,43.73,43.43,43.5,44648800
DSMS,20210917,1558.09,1562.36,1543.61,1546.56,12203100
DSMT,20210917,170.92,170.92,166.62,168.39,672100
DSMU,20210917,230.44,232.44,228.03,228.2,29733000
DSNC,20210917,933.06,934.65,927.87,930,588351700
DSNF,20210917,458.29,462.04,435.68,442.1,37560100
DSNG,20210917,1036.14,1041.52,1030.95,1032.29,225466000
